cohort,sample_id,immune_score,stromal_score,estimate_score,tumor_purity,n_immune_genes_covered,n_stromal_genes_covered
Puch,X190511_9F,0.07742551535139111,0.004892362700945076,0.08231787805233619,0.8143363904151253,140,138
Puch,X190511_48F,-0.049126376568964784,-0.05270262357436224,-0.10182900014332702,0.9499197535227585,140,138
Puch,X190511_77F,0.1301065879336517,0.0034134563882827276,0.13352004432193443,0.7628968702304135,140,138
Puch,X190511_4F,0.06649575241494728,-0.04158260171783771,0.024913150697109566,0.8651951871738391,140,138
Puch,X190511_64F,0.09020085075475,-0.006871299521834607,0.0833295512329154,0.8133742533962328,140,138
Puch,X190511_66F,0.24668570075276716,0.0829039471845393,0.3295896479373065,0.520019659917152,140,138
Puch,X190511_31F,0.06350895599718623,-0.02331767747735824,0.04019127851982798,0.8523872265480968,140,138
Puch,X190511_47F,0.07269427182217876,0.026664430079369698,0.09935870190154845,0.7978341442429127,140,138
Puch,X190511_53F,-0.01994330734106928,-0.049167660374370356,-0.06911096771543963,0.9318321140950433,140,138
Puch,X190511_12F,0.03183361530271909,-0.019023925562484036,0.012809689740235053,0.8749581084589393,140,138
Puch,X190511_18F,0.203212932474466,0.11804594320339426,0.32125887567786027,0.5316173679999701,140,138
Puch,X190511_73F,0.0544521793002707,-0.012238121488839519,0.042214057811431185,0.8506513602942561,140,138
Van_Allen,Pat02,0.35506507178994573,0.3055951225880987,0.6606601943780444,0.5125079122592443,140,138
Van_Allen,Pat03,0.21825028833599944,0.2136224053623479,0.43187269369834735,0.7680740155399023,140,138
Van_Allen,Pat04,0.23591240075704042,0.13764919610261583,0.3735615968596563,0.8202821192347801,140,138
Van_Allen,Pat06,0.35646013432103346,0.22965725946083118,0.5861173937818647,0.6037041770282562,140,138
Van_Allen,Pat08,0.264469444267875,0.13369863821508238,0.3981680824829574,0.798970402722745,140,138
Van_Allen,Pat118,0.30118090574648065,0.26801944358945895,0.5692003493359397,0.6234218731239662,140,138
Van_Allen,Pat119,0.19367487259931668,0.09966879301215105,0.29334366561146774,0.8821076262524208,140,138
Van_Allen,Pat123,0.1561778024860971,0.06559526759066166,0.22177307007675878,0.9268625335527304,140,138
Van_Allen,Pat126,0.22634096840762036,0.1685152506507739,0.3948562190583943,0.8019008309506722,140,138
Van_Allen,Pat14,0.2671039655573685,0.22386532122444452,0.490969286781813,0.7093618997929997,140,138
Van_Allen,Pat15,0.07871344375936605,0.04356564561609773,0.12227908937546378,0.9718206223273521,140,138
Van_Allen,Pat16,0.22390574490714285,0.09552982283990588,0.31943556774704873,0.8633152097303748,140,138
Van_Allen,Pat19,0.3277163467173816,0.25226689952323034,0.5799832462406119,0.6108979992776887,140,138
Van_Allen,Pat20,0.19410480188053628,0.13889360797289124,0.33299840985342755,0.8530390602268269,140,138
Van_Allen,Pat25,0.1737166283069622,0.08475347011479333,0.2584700984217555,0.9051772873553671,140,138
Van_Allen,Pat27,0.2695310215585113,0.21486179871924557,0.4843928202777569,0.7161709010266222,140,138
Van_Allen,Pat28,0.28760689008012036,0.07549459828066121,0.3631014883607816,0.8290154417825234,140,138
Van_Allen,Pat29,0.2940762018683061,0.1395076679336156,0.43358386980192165,0.7664540429303656,140,138
Van_Allen,Pat33,0.15645230059543822,0.0702394760961558,0.22669177669159402,0.9241124306181427,140,138
Van_Allen,Pat36,0.14487247590682603,0.07907958657756062,0.22395206248438665,0.9256502548650106,140,138
Van_Allen,Pat37,0.2083191771844472,0.1013634861519091,0.3096826633363563,0.8704910391295713,140,138
Van_Allen,Pat38,0.33988287409005974,0.19282226464608734,0.5327051387361471,0.6646191784826921,140,138
Van_Allen,Pat39,0.3179403174155393,0.27798475917443516,0.5959250765899744,0.5920996229644625,140,138
Van_Allen,Pat40,0.22014496547076526,0.2120346593886682,0.43217962485943345,0.767783803795206,140,138
Van_Allen,Pat41,0.16381040824163146,0.12496023940255818,0.28877064764418964,0.8852672986492404,140,138
Van_Allen,Pat43,0.34710901482839185,0.3221268404331249,0.6692358552615167,0.5015970942006772,140,138
Van_Allen,Pat44,0.049640663439613396,0.022955851767298637,0.07259651520691203,0.9864803719593013,140,138
